model,test_set,inversion_fraction,mean_negative_dsigma
oceanembed,spatial,5.885122410546139e-05,0.001728787696265499
oceanembed,temporal,0.005260495700556399,0.01776044997971072
baseline,spatial,0.00029425612052730695,0.008415640084763254
baseline,temporal,0.006373292867981791,0.012940699157588125
oceanembed_lp05,spatial,5.885122410546139e-05,0.0028402708967405488
oceanembed_lp05,temporal,0.005361659079413252,0.01820875671319514
oceanembed_lp30,spatial,0.0,0.0
oceanembed_lp30,temporal,0.004855842185128983,0.01626336594757305
