epoch,split,loss,nll,phys,rmseT,rmseS,lr,sec
1,train,-0.24086,-0.24116,0.00617,1.41918,0.36273,2.98e-04,15.4
1,val,-0.83461,-0.83462,0.00010,1.26642,0.25977,2.98e-04,15.4
2,train,-0.85059,-0.85080,0.00420,1.21407,0.27071,2.93e-04,13.7
2,val,-1.14641,-1.14641,0.00002,1.18281,0.23358,2.93e-04,13.7
3,train,-1.01913,-1.01926,0.00258,1.15878,0.25215,2.84e-04,9.0
3,val,-1.16598,-1.16598,0.00002,1.15114,0.22801,2.84e-04,9.0
4,train,-1.11345,-1.11354,0.00177,1.12482,0.24492,2.71e-04,9.1
4,val,-1.29524,-1.29524,0.00001,1.12206,0.22142,2.71e-04,9.1
5,train,-1.19551,-1.19558,0.00142,1.10603,0.23794,2.56e-04,8.5
5,val,-1.36687,-1.36688,0.00001,1.09571,0.21369,2.56e-04,8.5
6,train,-1.25791,-1.25797,0.00112,1.08504,0.23105,2.38e-04,8.6
6,val,-1.38893,-1.38893,0.00000,1.08238,0.21360,2.38e-04,8.6
7,train,-1.30765,-1.30770,0.00091,1.06456,0.22639,2.18e-04,8.7
7,val,-1.47400,-1.47400,0.00002,1.06323,0.21033,2.18e-04,8.7
8,train,-1.35904,-1.35908,0.00076,1.04720,0.22338,1.96e-04,8.3
8,val,-1.45949,-1.45949,0.00000,1.06131,0.21044,1.96e-04,8.3
9,train,-1.39323,-1.39327,0.00068,1.03567,0.22015,1.73e-04,11.0
9,val,-1.52651,-1.52651,0.00000,1.03886,0.20610,1.73e-04,11.0
10,train,-1.43564,-1.43567,0.00060,1.02480,0.21729,1.50e-04,11.1
10,val,-1.54870,-1.54870,0.00000,1.03603,0.20465,1.50e-04,11.1
11,train,-1.45626,-1.45628,0.00052,1.02163,0.21477,1.27e-04,9.9
11,val,-1.58763,-1.58763,0.00000,1.02093,0.20041,1.27e-04,9.9
12,train,-1.48187,-1.48190,0.00049,1.01253,0.21416,1.04e-04,12.6
12,val,-1.58878,-1.58878,0.00000,1.02074,0.20021,1.04e-04,12.6
13,train,-1.49792,-1.49794,0.00049,1.00405,0.21260,8.19e-05,15.2
13,val,-1.61593,-1.61593,0.00000,1.01412,0.19918,8.19e-05,15.2
14,train,-1.52459,-1.52461,0.00045,0.99084,0.20956,6.18e-05,14.8
14,val,-1.61501,-1.61501,0.00000,1.01203,0.19855,6.18e-05,14.8
15,train,-1.54582,-1.54584,0.00038,0.99295,0.20813,4.39e-05,13.5
15,val,-1.61480,-1.61480,0.00000,1.01084,0.19838,4.39e-05,13.5
16,train,-1.55827,-1.55829,0.00041,0.98627,0.20895,2.86e-05,20.4
16,val,-1.63319,-1.63319,0.00000,1.00695,0.19692,2.86e-05,20.4
17,train,-1.56408,-1.56410,0.00038,0.98846,0.20892,1.63e-05,14.4
17,val,-1.64342,-1.64342,0.00000,1.00494,0.19676,1.63e-05,14.4
18,train,-1.57020,-1.57022,0.00036,0.98707,0.20849,7.34e-06,14.2
18,val,-1.64899,-1.64899,0.00000,1.00443,0.19623,7.34e-06,14.2
19,train,-1.58540,-1.58542,0.00039,0.98053,0.20705,1.85e-06,13.8
19,val,-1.65384,-1.65384,0.00000,1.00336,0.19638,1.85e-06,13.8
20,train,-1.56840,-1.56842,0.00035,0.98318,0.20873,0.00e+00,14.4
20,val,-1.65527,-1.65527,0.00000,1.00309,0.19614,0.00e+00,14.4
