model,test_set,regime_class,variable,n_points,calib_error,cover_68,width_68,cover_80,width_80,cover_90,width_90,cover_95,width_95
oceanembed,spatial,well_mixed,T,3808,0.01484550640884443,0.680672268907563,1.4873862266540527,0.7875525210084033,1.9167765378952026,0.8802521008403361,2.460132360458374,0.9269957983193278,2.9313998222351074
oceanembed,spatial,well_mixed,S,3808,0.038227527876885985,0.7615546218487395,0.5056782960891724,0.8558298319327731,0.6516614556312561,0.9206932773109243,0.8363903760910034,0.957983193277311,0.9966108798980713
oceanembed,spatial,barrier_layer_stratified,T,13622,0.011464090780669798,0.705696667156071,1.5879712104797363,0.8175745118191161,2.0463991165161133,0.9036118044340038,2.6264994144439697,0.9458229334899427,3.1296370029449463
oceanembed,spatial,barrier_layer_stratified,S,13622,0.02729693168528919,0.7369696079870798,0.5254064202308655,0.8357803553075906,0.6770848631858826,0.9133020114520628,0.8690206408500671,0.9525033034796653,1.0354918241500854
oceanembed,spatial,upwelling,T,606,0.019884049123175936,0.6897689768976898,1.4366743564605713,0.8201320132013201,1.8514246940612793,0.8910891089108911,2.3762550354003906,0.9323432343234324,2.8314547538757324
oceanembed,spatial,upwelling,S,606,0.05474016914038036,0.7871287128712872,0.3595837354660034,0.8927392739273927,0.46339109539985657,0.9438943894389439,0.5947504043579102,0.971947194719472,0.7086818218231201
oceanembed,spatial,all,T,18036,0.010925299073248077,0.6998780217343091,1.5616507530212402,0.811321800842759,2.0124804973602295,0.8982590374805943,2.582965850830078,0.9413949878021735,3.077763557434082
oceanembed,spatial,all,S,18036,0.030330583219396134,0.7438456420492349,0.5156696438789368,0.8419272565979152,0.6645371317863464,0.9158904413395431,0.8529159426689148,0.954313595032158,1.0163021087646484
oceanembed,temporal,well_mixed,T,8259,0.034684059334047175,0.6233200145296041,1.7119030952453613,0.7412519675505509,2.206108570098877,0.8560358396900352,2.831482410430908,0.9204504177261169,3.3738863468170166
oceanembed,temporal,well_mixed,S,8259,0.018845096811455075,0.6619445453444727,0.33906376361846924,0.7722484562295677,0.4369473457336426,0.8717762440973483,0.5608104467391968,0.9222666182346531,0.6682403683662415
oceanembed,temporal,barrier_layer_stratified,T,1405,0.0219560726388097,0.7224199288256228,1.6353117227554321,0.8256227758007118,2.1074063777923584,0.894661921708185,2.704800844192505,0.9409252669039145,3.2229373455047607
oceanembed,temporal,barrier_layer_stratified,S,1405,0.008158566260417848,0.6669039145907474,0.3070690929889679,0.7800711743772242,0.3957161605358124,0.8811387900355871,0.5078912973403931,0.9409252669039145,0.6051838994026184
oceanembed,temporal,upwelling,T,857,0.0129163109536817,0.6802800466744457,1.9136173725128174,0.7957992998833139,2.4660556316375732,0.8833138856476079,3.1651177406311035,0.9253208868144691,3.771433115005493
oceanembed,temporal,upwelling,S,857,0.032674814217463335,0.7409568261376897,0.348500519990921,0.8506417736289381,0.44910839200019836,0.9171528588098017,0.5764188170433044,0.9544924154025671,0.6868386268615723
oceanembed,temporal,all,T,10521,0.02596661625158913,0.6411938028704496,1.7181057929992676,0.7569622659443018,2.214102029800415,0.8634160250926718,2.8417418003082275,0.9235814086113487,3.38611102104187
oceanembed,temporal,all,S,10521,0.015403902674716446,0.6690428666476571,0.33555981516838074,0.7796787377625701,0.43243181705474854,0.876722744986218,0.5550149083137512,0.9273833285809334,0.6613345742225647
baseline,spatial,well_mixed,T,3808,0.02978477577604565,0.7376575630252101,1.593205451965332,0.8419117647058824,2.0531444549560547,0.9212184873949579,2.6351568698883057,0.9550945378151261,3.1399526596069336
baseline,spatial,well_mixed,S,3808,0.047854500268871364,0.774422268907563,0.5201128721237183,0.8652836134453782,0.6702631115913391,0.9314600840336135,0.8602651357650757,0.9634978991596639,1.0250591039657593
baseline,spatial,barrier_layer_stratified,T,13622,0.01887207886274796,0.7181764792247834,1.6329208612442017,0.8336514461899868,2.104325532913208,0.9199823814417853,2.7008464336395264,0.9577154602848333,3.2182254791259766
baseline,spatial,barrier_layer_stratified,S,13622,0.035644246746717845,0.7509910438995743,0.5265169739723206,0.8498017912200851,0.6785159111022949,0.9249743062692704,0.8708574771881104,0.9616062252239025,1.0376805067062378
baseline,spatial,upwelling,T,606,0.01964874238746454,0.6798679867986799,1.526960015296936,0.83003300330033,1.9677746295928955,0.8960396039603961,2.525587320327759,0.9438943894389439,3.0093934535980225
